what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267052403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267052569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267052730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267052882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267053082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267053289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383267067909
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383267074062
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1383267080996
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383267081305
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383267085063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267130251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267130576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267130744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383267130912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383267134751
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383267136074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383267136980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383267139518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383267288653
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1383267288657
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383267290854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383267293331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383267297814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383267304058
error,log,,,"No Byte Stream Services found for Nios II Console View",1383267305799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383277752097
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383277761641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383277805660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383608024922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383608094310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383608098152
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383608103615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383608103757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383612790867
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383612791739
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383612799146
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383612801276
error,log,,,"No Byte Stream Services found for Nios II Console View",1383612809694
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 8",1383612813835
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/z/SeniorProject/Qsys/software/snakeproject/snakeproject.elf] return code: 8",1383612816713
error,log,,,"Downloading ELF Process failed",1383612817546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383612818809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383612821632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383612823847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383612989172
error,log,,,"No Byte Stream Services found for Nios II Console View",1383612996716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383613010581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383613127884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383613163509
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1383792145559
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1383792145561
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1383792145563
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1383792145563
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1383792145563
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1383792145563
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1383792145563
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1383792145563
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1383792145563
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1383792145563
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1383792145563
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1383792145601
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1383792145601
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1383792145611
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1383792145611
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1383792145611
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1383792145611
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1383792145611
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1383792145611
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1383792145612
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1383792145612
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1383792145619
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1383792145619
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1383792145619
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1383792145620
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1383792145620
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1383792145620
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1383792145620
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1383792145620
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1383792145620
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1383792145620
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1383792145620
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1383792145620
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1383792145620
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1383792145621
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1383792145621
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1383792145621
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1383792145621
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1383792145622
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1383792145622
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1383792145622
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1383792145622
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1383792145622
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1383792145622
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1383792145623
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1383792145623
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1383792145635
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1383792145642
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1383792145642
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1383792145642
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1383792145647
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1383792145647
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1383792145648
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1383792145648
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1383792145648
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1383792145648
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1383792145648
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1383792145648
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1383792145648
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1383792145648
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1383792145649
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1383792145649
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1383792145649
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1383792145649
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1383792145649
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1383792145649
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1383792145649
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1383792145649
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1383792145649
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1383792145649
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1383792145650
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1383792145650
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1383792145650
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1383792145650
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1383792145650
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1383792145650
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1383792145650
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1383792145650
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1383792145651
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1383792145651
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1383792145651
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1383792145651
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1383792145651
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1383792145651
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1383792145651
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1383792145651
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1383792145664
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1383792145664
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1383792145664
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1383792145664
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1383792145664
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1383792145664
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1383792145664
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1383792145664
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1383792145664
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1383792145664
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1383792145664
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1383792145665
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1383792145665
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1383792145665
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1383792145666
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1383792145666
os,sysinfo,,,"win32",1383792145669
arch,sysinfo,,,"x86",1383792145669
ws,sysinfo,,,"win32",1383792145669
locale,sysinfo,,,"en_US",1383792145669
processors,sysinfo,,,"4",1383792145670
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383792145670
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1383792145670
java.specification.name,sysinfo,,,"Java Platform API Specification",1383792145670
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383792145670
java.specification.version,sysinfo,,,"1.6",1383792145670
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1383792145670
java.version,sysinfo,,,"1.6.0_23",1383792145670
java.vm.info,sysinfo,,,"mixed mode",1383792145670
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1383792145670
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383792145670
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383792145670
java.vm.specification.version,sysinfo,,,"1.0",1383792145670
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1383792145670
java.vm.version,sysinfo,,,"19.0-b09",1383792145670
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1383792145671
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1383792146488
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1383792146689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383792147442
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1383792148239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383792343664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383792344871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383792346742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383792351361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794262031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1383794262047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794310735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794393844
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383794396469
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383794398568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794410034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794542550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383794544803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383886335465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383886337717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383886691127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383964156461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383964157764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384313726925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384313727808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384313731838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384313739039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384316308834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384316308834
